education_level,contract_type,salary_period,name,description,contract_duration_min,published_at,salary_max,updated_at,salary_min,experience_level,profession.category.fr,office.city,office.zip_code,organization.description,organization.industry
,INTERNSHIP,none,Data Analyst - Stage - Paris,"Travailler chez  papernest  :  définition. Certains évoqueront les challenges ambitieux, d’autres, l’inégalable esprit d’équipe ou encore l’ambiance de travail survoltée, voire les trois en même temps. Une chose est sûre : chez nous, on ne s’ennuie pas. Ce qui nous anime : imaginer nos prochains défis, surmonter les obstacles un à un et dépasser nos objectifs. Comment ? En faisant le choix du succès à long terme, plutôt que celui de la facilité à court terme; en valorisant l’effort de chacun·e et en offrant la possibilité à nos collaborateur·trice·s de se perfectionner et de se développer.  Tu l’auras compris, ici, ça va vite, très vite. Nous recherchons des talents qui participeront à notre croissance aujourd'hui et surtout, qui sont prêts à réaliser les exploits de demain.  Mais  papernest , qu’est-ce que c’est au juste ? C’est LA solution qui révolutionne la gestion des contrats et abonnements. Pour  déménager  tous tes contrats avec toi,  faire des économies  sur les factures liées à ton logement et  optimiser  tes abonnements quotidiens. Tout cela en quelques minutes, en ligne ou au téléphone,  gratuitement . Huit ans après nos débuts en 2015 à Paris, plus d’1,5 millions d’utilisateurs conquis en France, en Espagne et en Italie, une croissance de 2 à 900 collaborateur·trice·s, l’ouverture de 3 nouveaux bureaux à Reims, Barcelone et Varsovie, nous continuons  notre hyper croissance  avec l’arrivée de projets passionnants et encore plus audacieux. Et comme avec nous  “jamais 3 sans 4” , nous sommes fières, pour la quatrième année consécutive, de faire partie de la  FrenchTech 120 . Alors, prêt·e à rejoindre l’aventure ?  Pour relever ces défis,  nous recherchons un·e stagiaire Data Analyst  pour une période de 5 mois minimum à partir de Janvier 2024 .  Basé·e à Paris, tu travailleras activement sur des problématiques data diverses afin d’aider l’équipe à résoudre les problèmes rencontrés, être plus efficace et itérer plus rapidement grâce à une donnée fiable.   ⚡️ Tes futures missions : Améliorer la productivité de plusieurs équipes business Automatiser le calcul des primes de notre équipe commerciale de plus de 400          personnes répartis entre la France et l’Espagne Automatiser certaines tâches de l’équipe par la création de nouveaux outils              innovants Mettre en place des systèmes d’alerting pour repérer d’éventuels problèmes et      anticiper les changements marchés Créer de la valeur via de l’analytics Réaliser des analyses ad hoc en support de prises de décision et identifier des         leviers de croissance Mener des analyses approfondies sur des sujets à la croisée entre les                         Opérations, la Qualité et les RH (recrutement, montée en compétence etc.) Produire des analyses ad hoc et être force de proposition sur les évolutions              opérationnelles à apporter Garantir la fiabilité et l'accessibilité de la donnée S’assurer de la fiabilité de la donnée provenant de différentes sources Maintenir et élaborer des dashboards afin de rendre accessible la donnée à               l’équipe opération 🔎  Profil recherché : Tu es issu·e d’une école d’ingénieur ou de commerce Tu es passionné·e de data et de digital Tu es rigoureux·se, débrouillard·e et indépendant·e Tu es à l'aise avec le SQL, le traitement et la visualisation de données (Tableau, Data Studio, etc.), et tu as idéalement compétences en data science Tu as un bon niveau d'anglais 💜 Ce que nous t’offrons : En rejoignant papernest tu bénéficieras d’un package composé de: Ton tire transport pris en charge à 50% Tickets Restaurants  Swile … et tu évolueras dans un environnement de travail : Flexible,  grâce à une politique remote friendly (1 jour de télétravail possible par semaine) ; Motivant et où il fait bon vivre,  en 2022 nous avons reçu le label HappyTrainee qui récompense les entreprises pour la qualité de leur accueil, leur accompagnement et les missions confiées; Excitant et challengeant,  chez nous les stagiaires “photocopies-café” ça n’existe pas ! Membre à part entière de l’équipe, tu es ici pour apprendre, mais également pour partager tes idées, mettre en place des projets et nous aider à atteindre nos objectifs 🚀 Inclusif,  tout le monde à sa place chez papernest, et avec plus de 46 nationalités différentes, chez nous il n’est pas rare de commencer sa phrase en français and finish it in English o en español ¡ Favorisant la cohésion d’équipe  avec des événements et des team buildings réguliers; Gourmand :  petit déjeuner offert tous les mardis ainsi qu’un réfrigérateur Ideel Garden connecté pour des déjeuners sains et équilibrés !    🌟 Processus de recrutement :  Un premier appel avec Tiphaine, Talent Acquisition Partner  Un test SQL Un entretien avec ton futur manager  Un dernier appel avec le lead data analyst Si ce challenge est le tien, n’hésite pas une seconde ! Nous avons hâte de te rencontrer et cela peu importe ton âge, ton sexe, tes origines, ta religion, ton orientation sexuelle, ou ton handicap. Nos processus de sélection ainsi que notre environnement de travail sont adaptés à tous. Mesdames, nous vous encourageons vivement à postuler !  En effet, même si vous estimez ne pas répondre à la totalité des critères mentionnés dans cette offre, sachez qu'ils sont à titre indicatifs. Nous étudierons avec grand intérêt votre candidature. La parité et la diversité sont un atout pour nos équipes!",,2023-12-18T14:17:07.106942Z,,2023-12-18T14:17:07.119291Z,,,Tech,Paris,75019,"We are papernest Our ambition? To be the one and only platform to manage all the subscriptions with one single click.  Since our launch in 2015 we haven’t stopped growing: we are now more than 900 employees, 1 million users, and we work in 5 European markets and have offices in Paris, Reims, Barcelona and Warsaw. We are proud to be part of the top 120 French tech startups for the third year in a row and we are convinced that all great success comes first and foremost from a great team.","Mobile Apps, Commercial Real Estate, Residential Real Estate"
,FULL_TIME,none,Data Analyst (Growth),"Challenges: As a Data Analyst, you: - Ensure availability and reliability of the data; - Debug and problem solve issues to ensure delivery of accurate metrics; - Integrate raw data from multiple data sources; - Create dashboards with our main visualization tools (Tableau, Amplitude); - Create adhoc analysis to provide insights on specific topics; - Provide on-going reporting and performance monitoring from multiple data source; - Be a driving force in addressing large volumes of data; - Act as a point of contact for our external tech partners;",,2023-12-18T14:18:04.242448Z,,2023-12-18T14:18:32.832569Z,,3_TO_4_YEARS,Tech,Paris,75008,"Yubo is a live social discovery app launched in 2015, with the ambition to create a space where Gen Z can belong, feel safe and make friends. With more than 70 million users worldwide across 140 countries, we celebrate the true essence of being young, and make it easy to connect with others wherever you are. We are a French Tech company, part of the Next120, and our mission is to inspire and enable a new generation to find out about the world and themselves. Yubo’s business model is different from other social networks: in-app purchases and subscriptions. Yubo’s growth relies on paid UA, not virality. Our objective is to become the safest social app in the world. Indeed, as leading platform for young people to socialize online, we have a special responsibility towards our community to building a safe digital space, and we take it very seriously. Safety is at the core of our DNA, and we have developed and implemented a wide range of safeguards in the app. We also work closely with the broader technology industry, NGOs and charities to create industry-leading child protection standards. We really have a proactive approach to protect, support and educate.",Mobile Apps
BAC_5,FULL_TIME,yearly,Data Analyst Senior (F/H),"Au sein du département Supply Chain France et rattaché(e) au Directeur Supply Chain France, nous recherchons un(e) Data Analyst Senior (F/H) pour un poste en CDI à pourvoir début 2024. Le poste est basé à Paris, La Défense. Vos missions :   Au sein de l'équipe Master Data, vous interviendrez en binôme sur une multitudes de sujets. Dans ce cadre, vous deviendrez : Garant(e) Master Data : En créant les différents profils dans les systèmes en fonction des instructions transmises par les différentes sources (force de vente, marketing, client …) : données produits, clients, tarifs… En actualisant en continu les bases de données en fonction des évolutions de l'activité/organisation En appliquant et partageant les procédures, en faisant remonter les anomalies et suggestions d'amélioration, dans le cadre de la démarche d'amélioration continue, Chef(fe) de projets : En participant ou en conduisant certains projets de simplification et d'amélioration (exemple : recognition rate, CRM, outils opérationnels…) Data analyste : En mettant en place un pilotage précis (indicateurs) de la qualité de nos masters data afin d'engager les actions correctives nécessaires : focus sur la complétude et l'exactitude des données. Référent(e) sur les outils : SAP, CRM, BITS.. Garant(e) du processus de bascule tarifaire en animant les différents contributeurs (RACI, planning) : En renseignant dans les systèmes des directives de hausse tarifaires validées par la direction En participant au développement de la maquette tarifaire (gestion des besoins, évolution de l'outil si nécessaire, relation IT…) En assurant la fiabilité des tarifs dérogatoires renseignés dans l'outil (extraction des dérogés existants et consolidation des indicateurs de volume, CA, implémentation dans SAP) Key user SI : En étant un support aux équipes service client / info doc (création de rapports, gestion des bugs…) En coordonnant avec SI France, les workshops avec la division et en étant un appui auprès des forces de vente pour l'appropriation et la montée en compétence locale.",,2023-12-18T13:46:01.939438Z,,2023-12-18T13:46:01.939136Z,,7_TO_10_YEARS,Business,Puteaux,,"Tarkett est un leader mondial français des solutions innovantes de revêtements de sol et de surfaces sportives, qui combinent design et besoins fonctionnels. Nos produits sont vendus dans plus de 100 pays.  Avec 34 sites industriels et 12 000 collaborateurs, nous combinons la force d’une stratégie mondiale avec l’expertise pratique des équipes locales pour fabriquer et concevoir des produits et services adaptés aux besoins et tendances de nos clients locaux.  Tarkett a mis en place une stratégie d’éco-innovation qui promeut l’économie circulaire, tout en contribuant au bien-être des personnes et en préservant le capital nature. Nous nous engageons chaque jour à contribuer à la conception d’espaces sains et durables.",Building / Public Works
BAC_5,FULL_TIME,yearly,Data Analyst Confirmé.e,"“ Donne vie aux chiffres !  En tant que Data Analyst Confirmé.e, intégré au pôle produit, révèle l’impact des données et transforme le en actions stratégiques pour propulser notre plateforme B2B. De la mise en place d’indicateurs clés à la collaboration avec différentes équipes, utilise tes compétences analytiques et ta curiosité pour façonner l’avenir de nos produits. En tant que Data Analyst Confirmé.e, tes missions seront : Définir, mettre en place et analyser des indicateurs de performance pour notre plateforme B2B (Web et mobile) Analyser les comportements des utilisateurs sur nos outils Responsable du développement d’une infrastructure de données. Collaborer de manière transversale avec les équipes métiers (Ventes, Marketing, Opérations) pour identifier les points de friction et proposer des solutions basées sur les données. Responsable du développement et de la mise en œuvre d’outils et de processus de visualisation et de modélisation des données (R&D) Participer au développement de produits de données avec les product managers Poste : CDI Temps Plein Rémunération : 45-55 K€ package Lieux : Hybride ou full Présentiel Paris 10 eme",,2023-12-18T11:39:53.263845Z,55000,2023-12-18T14:57:30.448073Z,45000,2_TO_3_YEARS,Tech,Paris,75010,"Fondée en 2012, WizVille est leader des Plateformes SaaS de Management de la Satisfaction Client pour le Monde du Retail, avec près de 100.000 utilisateurs, collaborateurs de grandes enseignes réparties dans 25 pays.  Financée notamment par Newfund Capital et rentable, WizVille est en forte croissance et nourrit de grandes ambitions. Sa mission est de révolutionner une discipline datée, avec une solution destinée avant tout aux commerçants locaux, dont nous simplifions la vie et augmentons les capacités d’action grâce à l’IA et une solution clé en main à l’UX best-in-class.  Mais pour WizVille, voir les choses en grand ne signifie pas pour autant sacrifier  l’équilibre vie pro vie perso  très cher aux fondateurs et à toute l’équipe. C’est cela qui rend l’aventure WizVille si singulière : leur ambition ne se résume pas à leurs objectifs annuels mais aussi la manière dont ils partagent leurs journées pour les atteindre avec bienveillance, esprit d’équipe et de conquête.  Les + de  120 enseignes  utilisatrices de WizVille incluent des entreprises comme Lidl, Etam, Jardiland, Bricomarché ou encore Total.","Software, SaaS / Cloud Services"
,FULL_TIME,none,Consutlant(e) Senior Data Analyst - WiTADA,"Dans le cadre du lancement de notre nouvelle entité data WiTADA, nous recherchons nos premiers pionniers pour rejoindre l’aventure ! Nous recrutons Un.e  Senior Data Analyst  afin de d’accompagner nos clients sur des problématiques techniques et business liées à la data et nous accompagner dans la co-construction de l’entreprise en interne. Analyser et visualiser Comprendre l’activité du client, ses besoins et élaborer une méthodologie adéquate pour y répondre Identifier, extraire et réconcilier les données pertinentes à partir de divers systèmes et bases de données, contrôler leur qualité et leur cohérence Nettoyer et explorer les jeux de données pour en dégager les caractéristiques Mener les analyses “statiques” adaptées à l’objectif : statistiques descriptives, agrégations, cohortes, corrélations Représenter les résultats en choisissant une visualisation adéquate (tableau, courbe, histogramme, pie, heatmap) et facilement interprétable En produire une synthèse concise et facilement actionnable : rapport, dashboard Automatiser Faire passer certaines de vos analyses ou tableaux de bord du statut de PoC (Proof of Concept) à celui d’outil de pilotage en automatisant leur rafraîchissement / les rendant accessible aux équipes
 Consulting Conduire des projets data innovants : définition, cadrage, mise en oeuvre, application de la méthodologie data-driven propre à Elevate Participer à la transformation data des organisations : désilotage, logique test & learn, pilotage par reporting En résumé, en tant que Consultant(e) Senior Data Analyst, tu auras un rôle clé tant dans la résolution de problèmes passionnants pour nos clients tout en contribuant au succès et au développement de WiTADA.",,2023-12-18T10:28:44.831695Z,,2023-12-18T10:28:44.842006Z,,,Tech,Paris,75008,"Wivoo est LA référence en conseil dans le Product Management et Product Design ! Créée en 2018, nous sommes déjà plus de 120. Notre objectif ? 150 collaborateurs d’ici 2024. 🔥 Nous serons et resterons 150 : notre volonté afin de conserver notre ADN.  Nos équipes exercent des rôles de Product Manager et Product Designer. C’est pour cela que nous recrutons les talents passionnés de la culture du produit avec une sensibilité UX, Tech, Marketing et Business, mais surtout les profils entrepreneurs pour rejoindre l’aventure ! Des grands groupes aux scale-up, nous accompagnons nos clients dans la construction de leur produit numérique de A à Z. ","IT / Digital, Organization / Management, Digital"
BAC_5,INTERNSHIP,monthly,Business & Data Analyst – Stage,"Foxintelligence recherche un  stagiaire analyst full-stack data & business. Tu seras rattaché(e) à l’équipe  Digital & New Verticals , responsable de l’intégralité du dataflow sur nos verticales digitales (food delivery et ride hailing) et du lancement de nouvelles industries innovantes telles que le gaming, le Buy-Now-Pay-Later ou les hedge funds. Tes responsabilités au quotidien: Participer activement au  lancement de nouveaux produits  (via Tableau, ou la construction d’applications SaaS natives) et contribuer au développement de  nouveaux enrichissements de données  (par exemple pour notre dataset mobile apps, l’identification de l’application liée à chaque transaction, via du matching de logos). Contribuer à notre expansion internationale via le  développement de nouveaux pays  sur les 5 continents, des Etats-Unis au Canada, en passant par l’Inde et le Japon Participer à la gestion de  partenariats stratégiques avec des clients globaux  et clés pour Foxintelligence, en comprenant leurs besoins et en développant des nouvelles analyses (sous Tableau, ou Google Big Query) qui y répondent Explorer et mettre en oeuvre des  projets data à fort potentiel stratégique et commercial , tels que le redressement et l’extrapolation de notre panel, ou l’automatisation de nos process de qualité",6,2023-12-18T09:47:25.603236Z,1500,2023-12-18T09:47:25.613656Z,1500,6_MONTHS_TO_1_YEAR,Conseil,Paris,75010,"At Foxintelligence, we are data lovers ❤️‍🔥 Our mission is to make consumers and brands more intelligent thanks to our revolutionary market data that reaches across the world. For consumers, Foxintelligence makes accessible and useful transactional originating from their email inboxes. In anonymizing them, we create unique statistics which allowed brands to stay up to date with best sellers and consumers’ expectations 🛍️ We created an app, now used by millions of people (Cleanfox, 6m+ users, 4,8/5 ⭐on stores) and are preparing to launch another one that helps you measure your carbon footprint intuitively. Thanks to our in-house data platform, these apps will become a massive eye-opener to climate change issues and individual actions to fight against it 🌍. We believe that information is the key to change, especially when it comes from true data. Using this personal data, fully anonymized, our SaaS platform foxintelligence.io had become the reference in the European digital market intelligence community, with dozens of famous brands as clients. 📈 The common thread between Deliveroo, Backmarket, JustEat, and The Boston Consulting Group? They’re going fast and they put their trust in Foxintelligence. Supported by investors since the very beginning (17M from Daphni, Partech, GFC, and eFounders) and being recently incorporated into the NielsenIQ group, we are well on our way to conquering our space 🏘️ Our HQ is in Paris, but we are openly remote-friendly. Our team of 120 multidisciplinary talents (tech, data, business) works from all over France. We are convinced that the key to our collective success comes from our caring culture, our remote policy, and our continuous innovation through the way we work 👩‍💻 We have a transparent salary grid accessible to everyone, we provide training on climate issues and possible actions, and we try our best to communicate clearly and frequently on Foxintelligence’s strategies and decisions 😊","Strategy, SaaS / Cloud Services, Big Data"
BAC_5,FULL_TIME,none,Consultant.e Data Analyst Confirmé.e,"Nous recherchons un.e Consultant.e Data Analyst Confirmé.e ✨ Dans le cadre de la forte croissance d’Elevate, nous recherchons un.e Data Analyst afin de renforcer l’équipe et de rejoindre la practice Data & Tech pour accompagner nos clients sur des problématiques techniques et business liées à la data. Après formation interne à notre méthodologie et à notre offre, vous assurez la conception, la mise en œuvre et/ou l’exploitation continue d’une ou plusieurs composantes des projets de data analyse de nos clients. Parmi vos missions 🛠 Analyser et visualiser Comprendre l’activité du client, ses besoins et élaborer une méthodologie adéquate pour y répondre 
 Identifier, extraire et réconcilier les données pertinentes à partir de divers systèmes et bases de données, contrôler leur qualité et leur cohérence
 Nettoyer et explorer les jeux de données pour en dégager les caractéristiques
 Mener les analyses “statiques” adaptées à l’objectif : statistiques descriptives, agrégations, cohortes, corrélations
 Représenter les résultats en choisissant une visualisation adéquate (tableau, courbe, histogramme, pie, heatmap) et facilement interprétable
 En produire une synthèse concise et facilement actionnable : rapport, dashboard
 Automatiser Faire passer certaines de vos analyses ou tableaux de bord du statut de PoC (Proof of Concept) à celui d’outil de pilotage en automatisant leur rafraîchissement / les rendant accessible aux équipes
 Consulting Conduire des projets data innovants : définition, cadrage, mise en oeuvre, application de la méthodologie data-driven propre à Elevate
 Participer à la transformation data des organisations : désilotage, logique test & learn, pilotage par reporting
 Qui pourrait vous accompagner ? 🤝 Pierre, Manager Data & Tech: 6 ans dans l’industrie de la musique sur des enjeux analytics et  Big Data lui ont apporté des compétences transverses sur l’ensemble du spectre des problématiques data. De SQL, en passant par Python ou Google Analytics, il  est désormais chargé d’accompagner les consultant.es dans leurs missions et leurs montées en compétences dans notre practice Data & Tech. Pierre est aussi hyper éclectique dans ses goûts musicaux et nous offre régulièrement quelques pépites dans notre Slack d’équipe : IAM, Trio Ternura, Lewis OfMan ou Heavenly Sweetness 👨‍🎤",,2023-12-18T09:03:14.395183Z,,2023-12-18T09:03:14.404300Z,,2_TO_3_YEARS,Conseil,Paris,75009,"Elevate  est la nouvelle agence de conseil dédiée 100% à la data. Nous intervenons à la croisée du conseil et de la mise en œuvre opérationnelle sur des projets Digital & Data en délivrant un accompagnement bout-en-bout. Chez Elevate nous nous positionnons en tant que partenaire stratégique data de nos clients et rendons possible leur transformation customer-centric par notre méthodologie data-driven reconnue. Nous accompagnons nos clients sur l’ensemble de la chaîne de valeur Data. Nous avons décomposé notre offre autour de 3 practices d’expertise : Data Marketing Conseil Data et Stratégie  - Faire de la data et du digital un accélérateur business
 Collecte & Analytics  - Collecter, unifier, structurer et visualiser des données de performance fiables (Tracking)
 Expérience client  - Exploiter la data et les technologies du marché pour délivrer des expériences clients uniques (CRO)
 Performance média  - Optimiser les budgets et les performances media grâce aux outils et méthodes de pointe du marché
 Data & Tech Data Management  - Identifier l’ensemble des data points pouvant être vecteurs de croissance et élaborer une stratégie pour l’activation de ces leviers
 Data Engineering & Architecture  - Construire une architecture data résiliente et scalable, permettant son exploitation par le métier
 Data Analysis  - Déployer des outils facilitant la prise de décision sur des points clefs du business et former les équipes sur la prise de décision data driven
 Data Science  - Modéliser et programmer pour assister la prise de décision à l’aide de statistiques descriptives et d’algorithmes de prédiction et de classification
 Consumer & Market Insights Social Listening & Analytics  - Ecouter la voix du client là où il s’exprime
 Notre ADN nous pousse à être constamment à la pointe des sujets data. Pour cela, nos consultants accordent une part importante de leur temps à de la veille, de la formation ou de la R&D.","Digital Marketing / Data Marketing, IT / Digital, Recruitment"
BAC_5,INTERNSHIP,monthly,Stage - Data analyst risques opérationnels F/H,"Rattaché à la Direction des Risques Opérationnels, le département Incidents et Data Risque Opérationnel (DIDRO) a pour mission de piloter la collecte des incidents et des pertes liées au Risque Opérationnel (fraudes, erreurs d'exécutions, dommages aux actifs…) de l'ensemble des entités de La Banque Postale. Vos missions Au sein du département DIDRO, vous aurez pour mission d'implémenter les reportings existants sur l'outil QlikSense et de proposer/développer des pistes d'amélioration du processus pour faciliter la production des dits reportings. Cette mission implique de : Comprendre le fonctionnement de la base de données SAS, son modèle de données et les besoins auxquels il répond, Comprendre le processus de production des reportings mensuels, de la constitution des indicateurs à la population cible des reportings, Développer et recetter les reportings sous QlikSense, Identifier les axes d'amélioration, d'un point de vue métier comme d'un point de vue technique, en particulier concernant la structure de la base de données, pour faciliter la production des reportings.",6,2023-12-18T09:20:11.869542Z,,2023-12-18T09:20:11.869205Z,,LESS_THAN_6_MONTHS,Audit / Finance / Assurance,Paris,,"Une banque où vous étonner. Saviez-vous qu’en 17 ans à peine, La Banque Postale a su se positionner comme 3ème groupe de bancassurance en France ? Humaine et digitale, aujourd’hui, elle accompagne plus de 20 millions de clients, à travers 17000 points de contact de proximité sur tout le territoire et des services digitaux qui simplifient la vie de ses clients au quotidien.  A La Banque Postale, on croit sincèrement que la finance a un sens et qu’elle peut jouer un vrai rôle sociétal : une finance durable, toujours avec l’accessibilité bancaire pour mission. Des engagements qui font de nous la 1ère banque mondiale en matière de RSE et nous différencient des autres banques.","Banking, Finance"
BAC_5,FULL_TIME,none,Data Analyst h/f/x,"En tant que  Data Analyst  au sein du pôle Data, tu travailleras en collaboration avec Clément (Head of Data). Tes missions seront les suivantes : Accompagner le métier dans la compréhension et la définition de ses besoins data Participer à la mise en place de tableaux de bord et indicateurs permettant de piloter l’activité de l’entreprise. Produire des études et analyses poussées afin de donner une visibilité chiffrée sur l’activité de Bridge Guider la prise de décision à tous les niveaux (produit, tech, stratégie…). Participer à l’ensemble des projets structurants de l’équipe data et à la valorisation de la data dans la plateforme Bridgeapi via des algorithmes ou modèles prédictifs. Devenir garant de la qualité et fiabilité de la donnée chez Bridge Promouvoir l’utilisation de la data chez Bridge via des événements et l’animation d’une communauté Bridge data. Ces missions sont susceptibles d’évoluer selon les besoins et les priorités de l’entreprise en lien avec l’évolution de la stratégie. 🔥 Travailler chez Bridge, c’est : Des bureaux au coeur de Paris, métro République Une politique hybride : 3 jours de télétravail par semaine 10 jours de repos offerts par an en plus de tes congés Une carte Swile pour tes déjeuners Un accord d’intéressement accessible à partir de 3 mois d’ancienneté  📈 Un dispositif d’épargne salariale avec notre partenaire Epsor La mutuelle Alan avec une prise en charge de 55% Des événements et rituels Bridge toute l’année : off-site, afterworks, événements internes,…",,2023-12-18T09:05:59.337815Z,,2023-12-18T09:05:59.362938Z,,1_TO_2_YEARS,Tech,Paris,75011,"Bienvenue dans la nouvelle ère de l’Open Banking ! Bridge est la scale-up fintech B2B qui fait vibrer l’Europe en simplifiant et sécurisant les paiements dans le parcours d’achat des e-commerçants. Mais pas que ! C’est également une véritable innovation qui secoue le paysage des entreprises. Imaginez un lieu où la gestion financière devient un jeu d’enfant. 💳 Fini les soucis de plafond de paiement ! et bonjour aux transactions fluides. ⏲️ Avec Bridge, il est possible d’effectuer des paiements en quelques secondes avec un parcours clients exceptionnel. Le but est de faciliter la vie des entreprises en offrant une expérience de paiement sans tracas. C’est le meilleur du paiement et de la donnée bancaire au service de la performance des entreprises. Et ce n’est pas tout ! La sécurité des données bancaires a toujours été un des gros enjeux de Bridge. Elle est primordiale pour nous permettre d’analyser les données bancaires d’un client, les interpréter et surtout les rendre accessibles instantanément et de façon automatisée: c’est ce que l’on appelle l’agrégation bancaire, dans notre jargon. En quelques chiffres, Bridge c’est: Une première levée de fonds en série A de 20 millions d’euros en juillet 2022 
 Près de 2 milliards d’euros processés via notre plateforme depuis le 1er jour
 8 millions de comptes bancaires synchronisés chaque jour
 300 clients comme Bankin, Payfit et Qonto mais aussi Soan et Alma
 Larguez les amarres et rejoignez l’aventure !","Software, FinTech / InsurTech, SaaS / Cloud Services"
BAC_5,FULL_TIME,none,Data Analyst,"Foxintelligence recherche un  Data (Quality) Analyst  pour rejoindre le pôle data de l’équipe Digital & New Verticals, responsable de l’intégralité du dataflow sur nos verticales digitales et du lancement de nouvelles industries innovantes telles que le gaming, le Buy-Now-Pay-Later ou le Travel. Au sein de ce pôle data, tu contribueras activement au fait de  livrer chaque semaine à nos clients de la donnée au meilleur niveau de qualité possible . Ton rôle sera à la fois d’être  responsable de la donnée sur l’une de nos verticales , d’accompagner les équipes business dans le lancement de nouvelles industries  en apportant une expertise data , et d’identifier et de réaliser des projets clés sur le long terme afin de rendre l’équipe  plus autonome et plus efficiente dans la détection et résolution  de problèmes de qualité. Tes responsabilités au quotidien: Devenir  l’expert de la donnée sur la Food Delivery , verticale historique et stratégique chez Foxintelligence. Cela implique : Assurer la  qualité des données  liées à cette industrie et assumer la responsabilité de la  livraison hebdomadaire de nos clients Contribuer à l’expansion internationale de Foxintelligence en  lançant cette industrie dans de nouveaux pays , en étroite collaboration avec les équipes business. Résoudre efficacement les problèmes  signalés par les clients ou les équipes business, en identifiant rapidement les sources d’erreur dans le dataflow et en implémentant des solutions appropriées en production. Optimiser et industrialiser les processus actuels de qualité  pour accroître la productivité de l’équipe tout en garantissant une amélioration constante de la qualité des données pour nos clients. Cela implique par exemple : Automatiser la détection d’anomalies dans les données  en explorant diverses méthodes (statistiques, Machine Learning, reconnaissance d’images, etc.). Développer des outils et des méthodologies de monitoring  du niveau et de la qualité de l’enrichissement des données. Définir et automatiser des  procédures de résolution d’anomalies dans les données , permettant à l’équipe de traiter les problèmes de manière rapide, efficace et systématique. Améliorer en continu et optimiser nos outils internes.",,2023-12-18T09:47:50.405634Z,,2023-12-18T09:47:50.418856Z,,1_TO_2_YEARS,Tech,Paris,75010,"At Foxintelligence, we are data lovers ❤️‍🔥 Our mission is to make consumers and brands more intelligent thanks to our revolutionary market data that reaches across the world. For consumers, Foxintelligence makes accessible and useful transactional originating from their email inboxes. In anonymizing them, we create unique statistics which allowed brands to stay up to date with best sellers and consumers’ expectations 🛍️ We created an app, now used by millions of people (Cleanfox, 6m+ users, 4,8/5 ⭐on stores) and are preparing to launch another one that helps you measure your carbon footprint intuitively. Thanks to our in-house data platform, these apps will become a massive eye-opener to climate change issues and individual actions to fight against it 🌍. We believe that information is the key to change, especially when it comes from true data. Using this personal data, fully anonymized, our SaaS platform foxintelligence.io had become the reference in the European digital market intelligence community, with dozens of famous brands as clients. 📈 The common thread between Deliveroo, Backmarket, JustEat, and The Boston Consulting Group? They’re going fast and they put their trust in Foxintelligence. Supported by investors since the very beginning (17M from Daphni, Partech, GFC, and eFounders) and being recently incorporated into the NielsenIQ group, we are well on our way to conquering our space 🏘️ Our HQ is in Paris, but we are openly remote-friendly. Our team of 120 multidisciplinary talents (tech, data, business) works from all over France. We are convinced that the key to our collective success comes from our caring culture, our remote policy, and our continuous innovation through the way we work 👩‍💻 We have a transparent salary grid accessible to everyone, we provide training on climate issues and possible actions, and we try our best to communicate clearly and frequently on Foxintelligence’s strategies and decisions 😊","Strategy, SaaS / Cloud Services, Big Data"
BAC_5,FULL_TIME,yearly,Data Analyst Confirmé(e) H/F - Lyon,"Dans le cadre de notre croissance et pour répondre aux besoins évolutifs de nos clients, nous recherchons un.e #DATA Analyst afin d’intégrer nos équipes. Missions: Analyser les besoins avec les équipes métiers et #DATA analystes
 Participation aux choix des solutions à mettre en place
 Concevoir, développer et garantir la qualité des traitements de données et réaliser les tests de validation
 Collecte, sauvegarde et traitement des données
 Administration du cluster 
 Réaliser les ordonnancements des traitements
 Industrialiser les traitements #DATA science au sein du #DATA lake
 Travailler sur la mise en place du déploiement 
 Assurer la mise en œuvre, le suivi, l’exploitation et la mise à jour des différents outils déployés
",,2023-12-18T09:17:28.787867Z,48000,2023-12-18T09:17:28.797069Z,36000,3_TO_4_YEARS,Tech,Lyon,69007,"evoteo est une entreprise de prestation spécialisée en #DATA. L’évolution des structures, établies depuis plusieurs années, voire plusieurs décennies, est en marche et evoteo accompagne ses partenaires pour y faire face. Les équipes d’evoteo sont composées d’ingénieurs, de chefs de projets et de transformations managers tous passionnés par ce changement technologique. La réussite de l’entreprise repose sur un management de carrière simple et efficace de ses collaborateurs dont les axes principaux sont : L’évolution
 La curiosité
 L’exigence
 La collaboration
","Artificial Intelligence / Machine Learning, IT / Digital, Big Data"
